f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,label,source_path
0.0,0.0,0.066519946,-0.29118592,0.23011658,-0.5395722,0.38005412,-0.7154999,0.4777498,-0.878496,0.44409373,-0.39315292,0.5681497,-0.3670192,0.40848494,-0.31038356,0.36705005,-0.3145549,0.44119996,-0.20107819,0.5701895,-0.17473428,0.37110904,-0.1507911,0.36471325,-0.1899102,0.42099184,-0.020418204,0.5189098,0.0016727318,0.336252,-0.009345927,0.32931384,-0.06007854,0.39873233,0.12307588,0.46750188,0.16827783,0.34693775,0.13707344,0.32141197,0.086464345,like,data\own\images\like\like_0001.jpg
0.0,0.0,0.05989688,-0.29384694,0.22628906,-0.54234797,0.37997413,-0.7185857,0.47712818,-0.8788337,0.4378138,-0.39253777,0.55944085,-0.3730174,0.3995195,-0.31299275,0.3540314,-0.30869293,0.43841502,-0.19689845,0.56260383,-0.17883863,0.36331716,-0.15432556,0.35273132,-0.18752114,0.41954178,-0.015861148,0.511673,0.0021968714,0.32867706,-0.010403195,0.31795967,-0.055756304,0.3933782,0.12990147,0.45939472,0.16933954,0.34073135,0.13757692,0.31422514,0.09063682,like,data\own\images\like\like_0002.jpg
0.0,0.0,0.062811665,-0.29337817,0.2320758,-0.5423133,0.38741568,-0.71782815,0.48449036,-0.8747966,0.44470394,-0.39942455,0.565071,-0.36906844,0.4021262,-0.30963543,0.36323646,-0.31383312,0.4447734,-0.20429388,0.5634305,-0.17814523,0.3619938,-0.15421528,0.3622742,-0.19630387,0.4255986,-0.021242337,0.51543677,0.001415169,0.33184206,-0.010294372,0.32753628,-0.062265728,0.3998001,0.12513855,0.46598765,0.16713008,0.34810427,0.13902143,0.32419628,0.08961016,like,data\own\images\like\like_0003.jpg
0.0,0.0,0.062300775,-0.2912922,0.23726708,-0.5415134,0.3941148,-0.7187047,0.4903784,-0.8715096,0.4437715,-0.3995417,0.57532424,-0.36777982,0.41213006,-0.30655193,0.3655355,-0.30938774,0.44697985,-0.20454615,0.57503915,-0.17529377,0.37148792,-0.14873639,0.36373594,-0.18915144,0.429215,-0.020993844,0.5242278,0.0025288279,0.33815584,-0.007469963,0.33152997,-0.058552306,0.40306193,0.1264945,0.4692648,0.16759612,0.3490989,0.14000756,0.3248891,0.09023813,like,data\own\images\like\like_0004.jpg
0.0,0.0,0.0714438,-0.2992287,0.25322464,-0.5451707,0.41300827,-0.71635056,0.5047921,-0.8632409,0.45770913,-0.3878554,0.59655875,-0.35647655,0.43093163,-0.3113689,0.38022822,-0.32182306,0.45538238,-0.19556661,0.59161466,-0.1653258,0.38697425,-0.15308614,0.37226772,-0.19815645,0.43190095,-0.015708644,0.5352245,0.012909227,0.3492954,-0.008498491,0.33630365,-0.0618666,0.40049806,0.13475913,0.47938353,0.1752808,0.35735762,0.1380491,0.3275654,0.08840562,like,data\own\images\like\like_0005.jpg
0.0,0.0,0.06602328,-0.29397348,0.23929125,-0.53595746,0.39639443,-0.7150961,0.4836016,-0.8752883,0.45410118,-0.39059213,0.5673186,-0.3469978,0.39815772,-0.29945192,0.36823598,-0.31989467,0.45421886,-0.19323097,0.5666128,-0.16074808,0.3587436,-0.15196893,0.36477244,-0.20179112,0.43037513,-0.010578919,0.51499426,0.01631021,0.32631433,-0.006105393,0.32595575,-0.0606771,0.39656684,0.13453181,0.45542207,0.17633246,0.3320599,0.14166573,0.31109172,0.09286312,like,data\own\images\like\like_0006.jpg
0.0,0.0,0.05329658,-0.27797195,0.20291202,-0.5198632,0.3516531,-0.704015,0.45133752,-0.89235336,0.4670992,-0.3942935,0.49784455,-0.30531088,0.34597427,-0.24983834,0.32967433,-0.26328382,0.4796015,-0.19277433,0.4924474,-0.10366163,0.2995801,-0.094867766,0.31916952,-0.15014619,0.46275035,-0.0023344744,0.45069087,0.07417928,0.26421586,0.043623853,0.2723596,-0.025554625,0.43367225,0.15237434,0.40442336,0.2198113,0.26525667,0.16550969,0.2487602,0.09319717,like,data\own\images\like\like_0007.jpg
0.0,0.0,0.03672923,-0.26646572,0.17833218,-0.5280058,0.31845284,-0.72061634,0.41684663,-0.90897685,0.4918574,-0.39095592,0.4188673,-0.31671655,0.2610997,-0.25580195,0.24593888,-0.24293244,0.53039205,-0.1723232,0.41389376,-0.084597506,0.21841896,-0.09422943,0.24142577,-0.13031718,0.50765175,0.030843485,0.37086186,0.11068478,0.19599189,0.060476664,0.21414255,0.0017704214,0.44957757,0.20377138,0.32258835,0.26272517,0.18912278,0.19035454,0.19603005,0.116454184,like,data\own\images\like\like_0008.jpg
0.0,0.0,0.019608704,-0.2999848,0.14510329,-0.5506364,0.2785856,-0.71594834,0.39957038,-0.9167025,0.47102305,-0.3485927,0.3017718,-0.23908475,0.16771549,-0.22487411,0.21909954,-0.24838772,0.5066976,-0.1164575,0.2920202,-0.016201137,0.116427444,-0.06753838,0.19176523,-0.10298167,0.48137814,0.09904724,0.25312692,0.18032888,0.09532978,0.09600804,0.15928632,0.044107273,0.42207217,0.2810397,0.2112989,0.3345785,0.08273883,0.23819348,0.12026332,0.17471316,like,data\own\images\like\like_0009.jpg
0.0,0.0,-0.03891299,-0.27115205,0.016139967,-0.56062335,0.088301405,-0.76738757,0.18624017,-0.9825043,0.3561945,-0.4180561,0.035349857,-0.32742983,-0.04195355,-0.3435312,0.033804484,-0.36931202,0.4130213,-0.1564106,0.02420106,-0.053297944,-0.057790525,-0.11445062,0.08223725,-0.16653238,0.40255567,0.09128207,0.030023642,0.14739515,-0.030196311,0.07612759,0.082813576,0.014010604,0.35436684,0.2799898,0.07356842,0.308628,-0.0027481555,0.2518184,0.052850943,0.21967521,like,data\own\images\like\like_0014.jpg
0.0,0.0,-0.03351743,-0.2556707,0.01802924,-0.54938483,0.072760396,-0.7887021,0.12568521,-0.9920702,0.3702284,-0.426552,0.119568974,-0.42213553,-0.064813964,-0.36507216,-0.12133152,-0.30515236,0.41324058,-0.11416746,0.0653146,-0.04221613,-0.103168905,-0.060962196,-0.10414069,-0.064876586,0.38194323,0.15357578,0.050042465,0.22550814,-0.08469576,0.18592834,-0.07942592,0.16514775,0.31257483,0.35622123,0.059685234,0.41154262,-0.06869501,0.35527107,-0.089003295,0.33480683,like,data\own\images\like\like_0015.jpg
0.0,0.0,-0.029268315,-0.28633565,-0.14819564,-0.5718963,-0.21379037,-0.7868213,-0.19005339,-0.9817738,-0.19527295,-0.55821264,-0.51436913,-0.5007731,-0.5155421,-0.43357274,-0.46015927,-0.42058247,-0.20867021,-0.36658102,-0.54390424,-0.28814194,-0.48438925,-0.25397637,-0.40350118,-0.26186866,-0.22675687,-0.1692945,-0.51109236,-0.119519934,-0.42161056,-0.1204211,-0.32673317,-0.14226703,-0.2415551,0.0049046464,-0.45557165,0.0063787843,-0.38736373,0.003792587,-0.30350998,-0.009639283,like,data\own\images\like\like_0018.jpg
0.0,0.0,-0.036140647,-0.27648374,-0.16994533,-0.56607,-0.24482127,-0.79183376,-0.20313324,-0.9791511,-0.30979618,-0.5851832,-0.58874816,-0.5090495,-0.5442374,-0.41256446,-0.4686852,-0.40349242,-0.3476343,-0.4157653,-0.5963167,-0.29210106,-0.5088754,-0.22722308,-0.41269588,-0.2332735,-0.37143174,-0.21886297,-0.54301465,-0.11947787,-0.45487022,-0.083014734,-0.36859095,-0.10702034,-0.38159248,-0.043874457,-0.4915479,0.0095935725,-0.40613326,0.03608004,-0.3319028,0.019682052,like,data\own\images\like\like_0019.jpg
0.0,0.0,-0.053104606,-0.30140096,-0.19706313,-0.5614865,-0.27832,-0.7833668,-0.24730264,-0.96893823,-0.3781396,-0.5826584,-0.6519486,-0.51193804,-0.69553125,-0.43427923,-0.7128438,-0.43161118,-0.41346177,-0.42024183,-0.62113506,-0.27647313,-0.5473047,-0.2166357,-0.46316355,-0.22179827,-0.43017462,-0.22484064,-0.5564228,-0.12015748,-0.47863206,-0.0887368,-0.39605924,-0.10031992,-0.4401998,-0.04984002,-0.5071489,0.0043223854,-0.42455643,0.03338094,-0.35223767,0.023051227,like,data\own\images\like\like_0020.jpg
0.0,0.0,-0.04745119,-0.2824162,-0.18939419,-0.5663142,-0.26782936,-0.78593755,-0.22420609,-0.9745418,-0.3423711,-0.584404,-0.62385917,-0.4885945,-0.5864932,-0.41201416,-0.5217932,-0.41670373,-0.3718099,-0.40812343,-0.6035435,-0.275144,-0.51728666,-0.22369531,-0.42569694,-0.23595773,-0.38411185,-0.20942807,-0.54010576,-0.10417252,-0.4553267,-0.070864506,-0.3733407,-0.097392,-0.38332376,-0.030523615,-0.48384047,0.021555776,-0.39595246,0.04221227,-0.320228,0.020811656,like,data\own\images\like\like_0021.jpg
0.0,0.0,-0.05069916,-0.2662493,-0.19786038,-0.5597492,-0.26728246,-0.7884955,-0.21091545,-0.9775044,-0.3263821,-0.5921893,-0.6084956,-0.4857497,-0.54319066,-0.39510927,-0.45544153,-0.39758357,-0.35230651,-0.42111543,-0.59905666,-0.2766758,-0.51213044,-0.21579365,-0.42444468,-0.22984795,-0.36750203,-0.22307196,-0.54204243,-0.1096196,-0.45899653,-0.074266955,-0.377018,-0.10258441,-0.37228602,-0.047151983,-0.48572242,0.01740793,-0.4021734,0.04117877,-0.3273567,0.020589385,like,data\own\images\like\like_0022.jpg
0.0,0.0,-0.04721996,-0.27672347,-0.19735074,-0.56006885,-0.27728283,-0.788634,-0.21903452,-0.9757171,-0.31878087,-0.58059424,-0.60791975,-0.47923565,-0.53661174,-0.39553285,-0.44931024,-0.40584776,-0.33822566,-0.4140358,-0.599952,-0.2809917,-0.5135336,-0.2268536,-0.4304586,-0.24244624,-0.35200676,-0.22445819,-0.5384396,-0.11937932,-0.4530936,-0.087327145,-0.37528092,-0.11052965,-0.35843655,-0.059465144,-0.48571554,-0.008549699,-0.40056866,0.013974788,-0.3289951,-0.0014673297,like,data\own\images\like\like_0023.jpg
0.0,0.0,-0.079400174,-0.30627468,-0.14421014,-0.59744287,-0.15495327,-0.8130186,-0.1083511,-0.9941127,-0.076862484,-0.5525243,-0.37443325,-0.48507187,-0.4690299,-0.4467503,-0.4840051,-0.44019845,-0.038097464,-0.3507547,-0.35857508,-0.28089592,-0.4530587,-0.26593485,-0.48628154,-0.26684296,-0.01917021,-0.15701638,-0.31009677,-0.1075614,-0.38670725,-0.0986837,-0.40137246,-0.094656706,-0.013244848,0.03325053,-0.23846465,0.05437498,-0.3166273,0.040048912,-0.3441812,0.029106393,like,data\own\images\like\like_0024.jpg
0.0,0.0,-0.025030207,-0.2681673,0.028499836,-0.544707,0.109392375,-0.7613441,0.19224031,-0.9813479,0.34243134,-0.44461966,0.033937465,-0.34863245,-0.007138415,-0.3584505,0.07629236,-0.37464637,0.40601924,-0.16732995,0.028331723,-0.07351904,-0.018807465,-0.09378854,0.08190854,-0.10865702,0.40667298,0.08673432,0.05098734,0.15410207,-8.500533e-05,0.15034719,0.079302184,0.15674211,0.37099746,0.2810694,0.10500667,0.32468012,0.0056370604,0.31041998,0.006375197,0.33300427,like,data\own\images\like\like_0025.jpg
0.0,0.0,0.0018230181,-0.29250488,0.11989879,-0.5578374,0.20310712,-0.7545759,0.2562567,-0.96660876,0.44847772,-0.4391648,0.26080182,-0.36029232,0.11989205,-0.30698222,0.14655738,-0.30316094,0.48012033,-0.203901,0.23599276,-0.12501837,0.0782905,-0.13869521,0.11867981,-0.16065258,0.45193592,0.013415523,0.19766694,0.06660663,0.06301887,0.016395455,0.11192511,-0.025043897,0.39752048,0.20110336,0.18100595,0.23941694,0.06928324,0.1686286,0.099050276,0.103120245,like,data\own\images\like\like_0026.jpg
0.0,0.0,0.027247183,-0.274076,0.17607984,-0.5379957,0.26951548,-0.75372565,0.31222937,-0.9500068,0.48100898,-0.44512773,0.43134,-0.44872376,0.28025356,-0.3873559,0.2828016,-0.37420002,0.52705675,-0.23415253,0.40345603,-0.19554265,0.21515243,-0.18657492,0.25166968,-0.21664919,0.5040552,-0.0290712,0.35310036,0.0193267,0.18509577,-0.014116815,0.22121261,-0.05891649,0.45198908,0.14604005,0.30627823,0.19158727,0.17274393,0.14642815,0.18696825,0.09780895,like,data\own\images\like\like_0027.jpg
0.0,0.0,0.038598884,-0.2771498,0.18025464,-0.54404426,0.2730464,-0.76754135,0.2949912,-0.95549995,0.43015146,-0.4470813,0.49623933,-0.4538799,0.3475927,-0.39939544,0.29779395,-0.3879424,0.4621352,-0.25313392,0.47708356,-0.21602646,0.2754941,-0.19723152,0.27444935,-0.23460834,0.4641775,-0.065585524,0.423213,-0.021136437,0.23056449,-0.035748415,0.22649352,-0.08392033,0.447646,0.095638804,0.38138494,0.13921672,0.23125605,0.111008205,0.21171701,0.06693917,like,data\own\images\like\like_0028.jpg
0.0,0.0,0.06064285,-0.25883728,0.25236726,-0.49850163,0.38165006,-0.70204693,0.4532475,-0.8913847,0.5430227,-0.36900836,0.61031204,-0.30217692,0.45328143,-0.29207906,0.41952643,-0.3220873,0.5409855,-0.13851021,0.56986064,-0.06006061,0.3522626,-0.08939297,0.35073206,-0.14259572,0.49767265,0.07762096,0.47923768,0.13056287,0.28343537,0.07204931,0.28329104,0.0096283695,0.4346001,0.25773177,0.38998878,0.28010055,0.23794001,0.21862559,0.21866597,0.16912964,like,data\own\images\like\like_0029.jpg
0.0,0.0,0.1145852,-0.27266303,0.35098857,-0.45729724,0.51933306,-0.6248738,0.61710525,-0.7868806,0.5675904,-0.23092857,0.715304,-0.13208017,0.5476636,-0.1681743,0.46855092,-0.23261501,0.5172819,-0.019597266,0.62805426,0.07600193,0.4078451,0.0018836355,0.36451575,-0.06660207,0.4477836,0.1707181,0.51918215,0.23914453,0.30973342,0.13530497,0.26808402,0.05363497,0.37000674,0.31994084,0.40559423,0.37122974,0.25696808,0.2615712,0.21097216,0.17605662,like,data\own\images\like\like_0030.jpg
0.0,0.0,0.124476105,-0.26266995,0.4141522,-0.42489,0.60521793,-0.5358054,0.718275,-0.69575936,0.5943711,-0.12075112,0.72487897,0.036211092,0.56457496,-0.03358183,0.45672622,-0.13040718,0.50523627,0.074268274,0.6248837,0.22229555,0.41610363,0.1084099,0.34849286,0.002401074,0.39562082,0.2116487,0.4693597,0.3235447,0.29905954,0.203471,0.25769925,0.11045868,0.2902977,0.31873608,0.35868067,0.40041283,0.23164868,0.29741722,0.1932011,0.21622132,like,data\own\images\like\like_0032.jpg
